sep=; 
EthoWatcher Open Source 
Observer
Lab
Experiment
Animal
Weight
sex
Treatment/condition
Other Info
WARNING: in this version, DECIMALS are separated by DOT(.) 
TRACKING - ACTIVITY REPORT
Registred video file are locate in C:/teste_ethowatcher/Lane maze w background femeas exemplo multiplas areas mosca 1 intrinsic noise camera virtual.vxml
Start in ;22.5;seconds ;675; frames 
End in ;56.9333;seconds ;1708; frames 
1 cm = ;108.805; pixeis
1 pixel= 8.447e-05cm2
Area Name ;Total Area
Figure Height; 480
Figure Width; 640






;;Number of pixels;Area (in cm2);Horizontal coordinate of the centroid;Vertical coordinate of the centroid;AA(in degrees);Height of the animal;Width of the animal;Object Detected;Distance travelled by the centroid;Distance travelled by the centroid;Variation of Area (from the former frame);Variation of Height of animal (from the former frame);Variation of width of animal (from the former frame);Variation of Angule of animal;Intrinsic noise (minimum variation distance traveled by the centroid)
frames;second;of the animal's body;of the animal's body;(in pixels, from0 to 640 );(in pixels, from 0 to 480 );Angle between animal and Horizontal coordinate ;in cm;in cm;true or false;(in pixels);(in cm);in cm2;in cm;in cm;in degrees;true or false
792;26.4;148.5;0.0125438;367.291;22.5376;-5.71059;0.0813918;0.213082;true;0;0;0;0;0;0;true;
793;26.4333;148.5;0.0125438;367.291;22.5376;-5.71059;0.0813918;0.213082;true;0;0;0;0;0;0;true;
794;26.4667;148.5;0.0125438;367.291;22.5376;-5.71059;0.0813918;0.213082;true;0;0;0;0;0;0;true;
795;26.5;151;0.012755;380.901;22.968;-7.12502;0.082078;0.221154;true;13.6168;0.125149;0.000211175;0.000686272;0.0080729;-1.41442;false;
796;26.5333;151;0.012755;380.901;22.968;-7.12502;0.082078;0.221154;true;0;0;0;0;0;0;true;
797;26.5667;151;0.012755;380.901;22.968;-7.12502;0.082078;0.221154;true;0;0;0;0;0;0;true;
798;26.6;150.5;0.0127127;397.357;22.8494;0;0.0827168;0.211387;true;16.4564;0.151247;-4.2235e-05;0.000638748;-0.00976738;7.12502;false;
799;26.6333;150.5;0.0127127;397.357;22.8494;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
800;26.6667;150.5;0.0127127;397.357;22.8494;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
801;26.7;150.5;0.0127127;397.357;22.8494;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
802;26.7333;144.5;0.0122059;413.376;23.2584;0;0.0827168;0.202197;true;16.0246;0.147278;-0.00050682;0;-0.00919075;0;false;
803;26.7667;144.5;0.0122059;413.376;23.2584;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
804;26.8;144.5;0.0122059;413.376;23.2584;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
805;26.8333;144.5;0.0122059;413.376;23.2584;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
806;26.8667;152.5;0.0128817;430.827;22.8437;0;0.0827168;0.202197;true;17.4562;0.160436;0.00067576;0;0;0;false;
807;26.9;152.5;0.0128817;430.827;22.8437;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
808;26.9333;152.5;0.0128817;430.827;22.8437;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
809;26.9667;152.5;0.0128817;430.827;22.8437;0;0.0827168;0.202197;true;0;0;0;0;0;0;true;
810;27;168;0.014191;443.265;22.0169;0;0.0827168;0.211387;true;12.465;0.114563;0.00130928;0;0.00919075;0;false;
811;27.0333;168;0.014191;443.265;22.0169;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
812;27.0667;168;0.014191;443.265;22.0169;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
813;27.1;168;0.014191;443.265;22.0169;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
814;27.1333;162;0.0136841;455.506;21.8323;0;0.0827168;0.211387;true;12.2427;0.11252;-0.00050682;0;0;0;false;
815;27.1667;162;0.0136841;455.506;21.8323;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
816;27.2;162;0.0136841;455.506;21.8323;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
817;27.2333;162;0.0136841;455.506;21.8323;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
818;27.2667;153.5;0.0129661;468.559;22.5081;-6.34019;0.0811959;0.214155;true;13.0705;0.120128;-0.000717995;-0.00152087;0.00276693;-6.34019;false;
819;27.3;153.5;0.0129661;468.559;22.5081;-6.34019;0.0811959;0.214155;true;0;0;0;0;0;0;true;
820;27.3333;153.5;0.0129661;468.559;22.5081;-6.34019;0.0811959;0.214155;true;0;0;0;0;0;0;true;
821;27.3667;150.5;0.0127127;485.038;22.9856;0;0.0827168;0.211387;true;16.4854;0.151513;-0.00025341;0.00152087;-0.00276693;6.34019;false;
822;27.4;150.5;0.0127127;485.038;22.9856;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
823;27.4333;150.5;0.0127127;485.038;22.9856;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
824;27.4667;150.5;0.0127127;485.038;22.9856;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
825;27.5;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;12.4867;0.114762;-8.447e-05;0;0.0275723;0;false;
826;27.5333;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;0;0;0;0;0;0;true;
827;27.5667;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;0;0;0;0;0;0;true;
828;27.6;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;0;0;0;0;0;0;true;
829;27.6333;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;0;0;0;0;0;0;true;
830;27.6667;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;0;0;0;0;0;0;true;
831;27.7;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;0;0;0;0;0;0;true;
832;27.7333;149.5;0.0126283;497.524;23.0836;0;0.0827168;0.23896;true;0;0;0;0;0;0;true;
833;27.7667;166;0.014022;508.146;26.0371;0;0.0919075;0.220578;true;11.0246;0.101324;0.00139375;0.00919075;-0.0183815;0;false;
834;27.8;166;0.014022;508.146;26.0371;0;0.0919075;0.220578;true;0;0;0;0;0;0;true;
835;27.8333;166;0.014022;508.146;26.0371;0;0.0919075;0.220578;true;0;0;0;0;0;0;true;
836;27.8667;166;0.014022;508.146;26.0371;0;0.0919075;0.220578;true;0;0;0;0;0;0;true;
837;27.9;166;0.014022;508.146;26.0371;0;0.0919075;0.220578;true;0;0;0;0;0;0;true;
838;27.9333;166;0.014022;508.146;26.0371;0;0.0919075;0.220578;true;0;0;0;0;0;0;true;
839;27.9667;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;11.0587;0.101638;-8.447e-05;-0.00919075;0;0;false;
840;28;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
841;28.0333;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
842;28.0667;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
843;28.1;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
844;28.1333;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
845;28.1667;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
846;28.2;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
847;28.2333;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
848;28.2667;165;0.0139375;518.965;23.7475;0;0.0827168;0.220578;true;0;0;0;0;0;0;true;
849;28.3;174;0.0146978;532.389;22.7672;0;0.0827168;0.211387;true;13.46;0.123708;0.00076023;0;-0.00919075;0;false;
850;28.3333;174;0.0146978;532.389;22.7672;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
851;28.3667;174;0.0146978;532.389;22.7672;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
852;28.4;174;0.0146978;532.389;22.7672;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
853;28.4333;174;0.0146978;532.389;22.7672;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
854;28.4667;174;0.0146978;532.389;22.7672;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
855;28.5;174;0.0146978;532.389;22.7672;0;0.0827168;0.211387;true;0;0;0;0;0;0;true;
